Time(s),183.7_ppm,143.4_ppm,139.3_ppm,132.3_ppm,130.3_ppm,47.5_ppm,24.9_ppm
0.0625,-4684.67491755,-5499.79491631,-5036.19281657,-6258.79620623,-5560.29537629,-1331.8590188,-2792.25325529
0.125,-3658.10880536,-6311.52026068,-5046.87077057,-5070.04392764,-5501.24326624,-2232.15717667,-718.40139958
0.25,-3931.3860814,-4594.11075216,-6585.52637099,-4965.12272888,-4204.97791338,-4227.64711944,-2714.23372112
0.5,-3852.76993758,-3103.07623043,-4563.7848837,-3098.5682367,-3719.21397954,-2123.34892575,-399.0473485
1.0,-4292.29716795,-3898.90184675,-6335.42216765,-3270.55024696,-2361.01513096,600.8388115,234.8638058
2.0,-6274.63619756,-458.69004861,-4315.24868308,267.01381987,1098.21939752,2348.3190777,2742.47358845
4.0,-3083.68823821,632.66713698,-3011.32025712,2682.3795275,1102.79378966,4361.10476622,1551.44831857
8.0,-1456.79144628,339.54094967,1444.35546626,4345.312969,3865.51576933,3288.27028034,1518.06924866
16.0,-1819.28329958,791.61575851,1181.45874186,4085.02729342,5653.63014581,3659.4244812,1841.42702096
